"Name","Position","Year","Selection","GPYr1","PSYr1","TOIYr1","GPYr2","PSYr2","TOIYr2","GPYr3","PSYr3","TOIYr3","GPYr4","PSYr4","TOIYr4","GPYr5","PSYr5","TOIYr5","GPYr6","PSYr6","TOIYr6","GPYr7","PSYr7","TOIYr7","TOI_sum_min","GP_sum","PS_sum"
"Dan Delisle","C/LW",2009,89,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,0,-17.5
"Gleason Fournier","D",2009,90,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,0,-17.5
"Mike Lee","G",2009,91,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,0,-17.5
"Casey Cizikas","C",2009,92,0,-2.5,0,0,-2.5,0,15,0.2,159.016666666667,45,1.5,485.4,80,0.1,1069.88333333333,70,1.3,876.183333333333,80,2.6,1014.55,3605.03333333333,290,0.7
"Alex Hutchings","LW",2009,93,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,0,-17.5
"David Savard","D",2009,94,0,-2.5,0,0,-2.5,0,31,1.9,513.816666666667,4,-0.2,52.8,70,3.7,1248.01666666667,82,6.4,1881.4,65,3.8,1506.21666666667,5202.25000000001,252,10.6
"Jean-Francois Berube","G",2009,95,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,0,-17.5
"Linden Vey","RW",2009,96,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,18,0.2,218.4,75,2,987.85,41,0.6,645.816666666667,1852.06666666667,134,-7.2
"Jordan Szwarz","RW",2009,97,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,26,0,224.816666666667,9,0,121.216666666667,0,-2.5,0,346.033333333334,35,-12.5
"Craig Smith","C",2009,98,0,-2.5,0,0,-2.5,0,72,3.4,1021.5,44,0.3,609.7,79,7,1295.55,82,5.8,1290.71666666667,82,4.7,1245.15,5462.61666666667,359,16.2
"Kyle Bigos","D",2009,99,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,0,-17.5
"Chris Wideman","D",2009,100,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,64,2.7,892.816666666667,892.816666666667,64,-12.3
"Toni Rajala","LW",2009,101,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,0,-17.5
"Mattias Ekholm","D",2009,102,0,-2.5,0,0,-2.5,0,2,-0.1,24.8333333333333,1,-0.1,16.0833333333333,62,1.4,1042.63333333333,80,5,1520.7,82,7.8,1659.81666666667,4264.06666666667,227,9
"Kris Foucault","LW",2009,103,0,-2.5,0,0,-2.5,0,1,0,8.83333333333333,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,8.83333333333333,1,-15
"Marcus Foligno","LW",2009,104,0,-2.5,0,0,-2.5,0,14,2,221.416666666667,47,1.2,640.483333333333,74,0.8,1114.61666666667,57,1.6,924.833333333333,75,2.5,988.833333333333,3890.18333333334,267,3.1
"Justin Weller","D",2009,105,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,0,-17.5
"Sami Vatanen","D",2009,106,0,-2.5,0,0,-2.5,0,0,-2.5,0,8,0.8,126.55,48,3.9,837.666666666667,67,6.7,1437.95,71,8,1513.28333333333,3915.45,194,11.9
"Garrett Wilson","LW",2009,107,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,3,-0.1,31,2,-0.1,17.6833333333333,29,-0.6,271.8,320.483333333333,34,-10.8
"Tyler Shattock","RW",2009,108,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,0,-17.5
"Alexander Avtsin","RW",2009,109,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,0,-17.5
"Nick Oliver","C/LW",2009,110,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,0,-17.5
"Henrik Bjorklund","RW",2009,111,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,0,-17.5
"Lane MacDermid","LW",2009,112,0,-2.5,0,0,-2.5,0,5,-0.2,44.5166666666667,6,0.6,30.5833333333333,1,0,4.13333333333333,0,-2.5,0,0,-2.5,0,79.2333333333333,12,-9.6
"Jeremy Price","D",2009,113,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,0,-17.5
"Seth Helgeson","D",2009,114,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,22,1,296.2,19,0.1,265.166666666667,561.366666666667,41,-11.4
"Patrick Wey","D",2009,115,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,9,0.4,131.266666666667,0,-2.5,0,0,-2.5,0,131.266666666667,9,-14.6
"Alex Fallstrom","RW",2009,116,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,0,-17.5
"Eddie Pasquale","G",2009,117,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,0,-17.5
"Byron Froese","C",2009,118,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,56,-0.8,707.066666666667,707.066666666667,56,-15.8
"Ben Chiarot","D",2009,119,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,1,-0.2,10.7833333333333,40,2.1,680.916666666667,70,1.1,1012.05,1703.75,111,-7
"Nick Petersen","RW",2009,120,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,0,-17.5
"Anton Klementyev","D",2009,121,1,0,6.33333333333333,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,6.33333333333333,1,-15
"Alex Velischek","D",2009,122,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,0,-17.5
"Kieran Millan","G",2009,123,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,0,-17.5
"Cody Sol","D",2009,124,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,0,-17.5
"David Kolomatis","D",2009,125,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,0,-17.5
"Roman Horak","C",2009,126,0,-2.5,0,0,-2.5,0,61,0.8,622.033333333333,20,0.3,290.55,2,0.1,24.1833333333333,0,-2.5,0,0,-2.5,0,936.766666666666,83,-8.8
"Eric Knodel","D",2009,127,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,0,-17.5
"Tomas Vincour","C",2009,128,0,-2.5,0,24,-0.3,226.25,47,0.6,485.483333333333,2,0,18.1166666666667,0,-2.5,0,7,0,50.2166666666667,0,-2.5,0,780.066666666666,80,-7.2
"Mike Hoffman","C/LW",2009,129,0,-2.5,0,0,-2.5,0,1,-0.1,9.01666666666667,3,-0.1,36.95,25,0.3,329.633333333333,79,7.2,1149.76666666667,78,7.6,1368.36666666667,2893.73333333334,186,9.9
"Matt Kennedy","RW",2009,130,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,0,-17.5
"Gabriel Bourque","LW",2009,131,0,-2.5,0,0,-2.5,0,43,1.9,549.916666666667,34,2.4,538.3,74,2,1024.01666666667,69,-0.2,828.983333333333,22,0.1,272.016666666667,3213.23333333334,242,1.2
"Olivier Roy","G",2009,132,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,0,-17.5
