DraftYr,DraftOv,Year1GAR,Year2GAR,Year3GAR,Year4GAR,Year5GAR,Year6GAR,Year7GAR,Year8GAR,Year9GAR,Year10GAR,Year11GAR,Year12GAR,Year13GAR,Year14GAR,Year15GAR,Year16GAR,GARsum,GARsum1_6
2009,55,-22.5,-22.5,1.9,2.9,7.4,-22.5,9.6,13.4,8.7,4,4.934097421203439,5.125,9.8,-1.7,10.4,0.7,-55.3,-55.300000000000004
2009,56,-22.5,-22.5,-22.5,-22.5,-22.5,-22.5,-22.5,-22.5,-22.5,-22.5,-26.432664756446993,-32.94642857142857,-22.5,-22.5,-22.5,-22.5,-135,-135
2009,57,-22.5,-22.5,-22.5,-22.5,-22.5,-22.5,-22.5,-22.5,-22.5,-22.5,-26.432664756446993,-32.94642857142857,-22.5,-22.5,-22.5,-22.5,-135,-135
2009,58,-22.5,-22.5,-22.5,-22.5,-22.5,-22.5,-22.5,-22.5,-22.5,-22.5,-26.432664756446993,-32.94642857142857,-22.5,-22.5,-22.5,-22.5,-135,-135
2009,59,-22.5,-22.5,0.3,-22.5,4.5,3.7,-3.5,-0.5,-22.5,5.8,-3.5243553008595994,-32.94642857142857,-22.5,-22.5,-22.5,-22.5,-59,-59
2009,60,-22.5,0.8,-22.5,3.2,13.2,11.4,11.1,4.4,3.9,10.7,10.103151862464184,11.42142857142857,-3.5,14.1,2.5,2.1,-16.4,-16.4
2009,61,-22.5,-22.5,-22.5,-22.5,-2.1,-0.6,-0.3,-22.5,-22.5,-22.5,-26.432664756446993,-32.94642857142857,-22.5,-22.5,-22.5,-22.5,-92.7,-92.69999999999999
2009,62,-22.5,-22.5,0.6,-22.5,2.3,-22.5,-0.8,18.5,-5.3,6.5,-0.5873925501432665,-32.94642857142857,-22.5,-22.5,-22.5,-22.5,-87.10000000000001,-87.10000000000001
2009,63,-22.5,-22.5,-22.5,-1.1,0.3,-22.5,-22.5,-22.5,-22.5,-22.5,-26.432664756446993,-32.94642857142857,-22.5,-22.5,-22.5,-22.5,-90.8,-90.8
2009,64,-22.5,-22.5,-0.1,-3.2,14.3,22.6,9.4,3.3,5.9,4.5,1.4097421203438396,12.592857142857142,10.5,-1.4,-2.4,-2.1,-11.4,-11.399999999999999
2009,65,-22.5,-22.5,-22.5,-22.5,-22.5,-22.5,-22.5,-22.5,-22.5,-22.5,-26.432664756446993,-32.94642857142857,-22.5,-22.5,-22.5,-22.5,-135,-135
2009,66,-22.5,-22.5,3.1,-22.5,1.5,7.1,-1.6,0.3,8.3,-0.4,-2.9369627507163325,0.5857142857142857,3.7,6.9,3.1,11.5,-55.8,-55.800000000000004
