"response","method","Pick","fitted_value_raw","fitted_value_scaled","shift_value","epsilon_added","raw_sum","adjusted_sum"
"GP_sum","B-spline",31,21.8123336412423,7.36359613816978,0,0,2962.18494767473,2962.18494767473
"GP_sum","B-spline",32,20.825355925916,7.03040366951551,0,0,2962.18494767473,2962.18494767473
"GP_sum","B-spline",33,19.9301974236861,6.72820832451095,0,0,2962.18494767473,2962.18494767473
"GP_sum","B-spline",34,19.1217729991695,6.45529341919714,0,0,2962.18494767473,2962.18494767473
"GP_sum","B-spline",35,18.3949975169829,6.20994226961511,0,0,2962.18494767473,2962.18494767473
"GP_sum","B-spline",36,17.7447858417432,5.99043819180589,0,0,2962.18494767473,2962.18494767473
"GP_sum","B-spline",37,17.1660528380673,5.79506450181053,0,0,2962.18494767473,2962.18494767473
"GP_sum","B-spline",38,16.6537133705719,5.62210451567005,0,0,2962.18494767473,2962.18494767473
"GP_sum","B-spline",39,16.202682303874,5.46984154942549,0,0,2962.18494767473,2962.18494767473
"GP_sum","B-spline",40,15.8078745025903,5.33655891911789,0,0,2962.18494767473,2962.18494767473
"GP_sum","B-spline",41,15.4642048313377,5.22053994078827,0,0,2962.18494767473,2962.18494767473
"GP_sum","B-spline",42,15.1665881547331,5.12006793047767,0,0,2962.18494767473,2962.18494767473
"GP_sum","B-spline",43,14.9099393373931,5.03342620422713,0,0,2962.18494767473,2962.18494767473
"GP_sum","B-spline",44,14.6891732439348,4.95889807807768,0,0,2962.18494767473,2962.18494767473
"GP_sum","B-spline",45,14.499204738975,4.89476686807035,0,0,2962.18494767473,2962.18494767473
"GP_sum","B-spline",46,14.3349486871304,4.83931589024619,0,0,2962.18494767473,2962.18494767473
"GP_sum","B-spline",47,14.1913199530179,4.79082846064621,0,0,2962.18494767473,2962.18494767473
"GP_sum","B-spline",48,14.0632334012543,4.74758789531146,0,0,2962.18494767473,2962.18494767473
"GP_sum","B-spline",49,13.9456038964566,4.70787751028297,0,0,2962.18494767473,2962.18494767473
"GP_sum","B-spline",50,13.8333463032414,4.66998062160177,0,0,2962.18494767473,2962.18494767473
"GP_sum","B-spline",51,13.7222256047792,4.63246753567866,0,0,2962.18494767473,2962.18494767473
"GP_sum","B-spline",52,13.6114072584537,4.59505652040344,0,0,2962.18494767473,2962.18494767473
"GP_sum","B-spline",53,13.5009068402022,4.55775283403565,0,0,2962.18494767473,2962.18494767473
"GP_sum","B-spline",54,13.3907399259622,4.52056173483487,0,0,2962.18494767473,2962.18494767473
"GP_sum","B-spline",55,13.2809220916709,4.48348848106064,0,0,2962.18494767473,2962.18494767473
"GP_sum","B-spline",56,13.1714689132655,4.44653833097253,0,0,2962.18494767473,2962.18494767473
"GP_sum","B-spline",57,13.0623959666835,4.40971654283008,0,0,2962.18494767473,2962.18494767473
"GP_sum","B-spline",58,12.9537188278621,4.37302837489286,0,0,2962.18494767473,2962.18494767473
"GP_sum","B-spline",59,12.8454530727386,4.33647908542042,0,0,2962.18494767473,2962.18494767473
"GP_sum","B-spline",60,12.7376142772504,4.30007393267232,0,0,2962.18494767473,2962.18494767473
"GP_sum","B-spline",61,12.6302180173347,4.26381817490811,0,0,2962.18494767473,2962.18494767473
"GP_sum","B-spline",62,12.5232798689289,4.22771707038736,0,0,2962.18494767473,2962.18494767473
