Selection,Response,Method,fitted_raw,fitted_adjusted,scaled_value,shift_applied,shift_value
173,TOI_sum_min,Loess,259.4828576149913,259.4828576149913,1.0227186943861872,FALSE,0
174,TOI_sum_min,Loess,258.98409262410223,258.98409262410223,1.0207528755842206,FALSE,0
175,TOI_sum_min,Loess,255.62212867749705,255.62212867749705,1.0075021221061347,FALSE,0
176,TOI_sum_min,Loess,250.61484193530475,250.61484193530475,0.9877665380045038,FALSE,0
177,TOI_sum_min,Loess,244.85795130846108,244.85795130846108,0.96507648549111,FALSE,0
178,TOI_sum_min,Loess,237.87011429157317,237.87011429157317,0.9375348142755925,FALSE,0
179,TOI_sum_min,Loess,231.32160264916936,231.32160264916936,0.9117246881707338,FALSE,0
180,TOI_sum_min,Loess,226.40925369452629,226.40925369452629,0.8923632892889772,FALSE,0
181,TOI_sum_min,Loess,222.05933104101064,222.05933104101064,0.8752186221700214,FALSE,0
182,TOI_sum_min,Loess,217.60779627364772,217.60779627364772,0.8576734638226166,FALSE,0
183,TOI_sum_min,Loess,210.51074506541872,210.51074506541872,0.8297013387566848,FALSE,0
184,TOI_sum_min,Loess,201.11581181133127,201.11581181133127,0.7926724037442527,FALSE,0
185,TOI_sum_min,Loess,192.3067340475941,192.3067340475941,0.7579525436653141,FALSE,0
186,TOI_sum_min,Loess,185.37042993216815,185.37042993216815,0.7306139828293626,FALSE,0
187,TOI_sum_min,Loess,179.3428293795755,179.3428293795755,0.7068569615598664,FALSE,0
188,TOI_sum_min,Loess,173.91416398303303,173.91416398303303,0.6854605670633591,FALSE,0
189,TOI_sum_min,Loess,170.29567333917916,170.29567333917916,0.6711987462211446,FALSE,0
190,TOI_sum_min,Loess,167.63660107388807,167.63660107388807,0.6607183509440429,FALSE,0
191,TOI_sum_min,Loess,165.26812191527486,165.26812191527486,0.651383291452861,FALSE,0
192,TOI_sum_min,Loess,162.78677188995363,162.78677188995363,0.6416033657901916,FALSE,0
193,TOI_sum_min,Loess,159.0010788240961,159.0010788240961,0.6266825378586397,FALSE,0
194,TOI_sum_min,Loess,154.21234804913755,154.21234804913755,0.6078083643161266,FALSE,0
195,TOI_sum_min,Loess,150.3934418519627,150.3934418519627,0.5927566310499814,FALSE,0
196,TOI_sum_min,Loess,149.05078591656826,149.05078591656826,0.5874647233768592,FALSE,0
197,TOI_sum_min,Loess,150.15671157286033,150.15671157286033,0.5918235887511931,FALSE,0
198,TOI_sum_min,Loess,153.51800839217188,153.51800839217188,0.6050717128318651,FALSE,0
199,TOI_sum_min,Loess,160.50056316489406,160.50056316489406,0.6325925647535525,FALSE,0
200,TOI_sum_min,Loess,169.97555900226595,169.97555900226595,0.6699370562593825,FALSE,0
201,TOI_sum_min,Loess,179.25347288971813,179.25347288971813,0.706504774315276,FALSE,0
202,TOI_sum_min,Loess,187.19818888134836,187.19818888134836,0.7378178623585908,FALSE,0
203,TOI_sum_min,Loess,195.37764639147503,195.37764639147503,0.7700561542536033,FALSE,0
204,TOI_sum_min,Loess,199.56587447971378,199.56587447971378,0.7865635228002784,FALSE,0
205,TOI_sum_min,Loess,200.55995860047955,200.55995860047955,0.7904815789811153,FALSE,0
206,TOI_sum_min,Loess,199.42670388187668,199.42670388187668,0.7860149995821161,FALSE,0
207,TOI_sum_min,Loess,197.6021952723166,197.6021952723166,0.7788239308532745,FALSE,0
208,TOI_sum_min,Loess,195.74357760250533,195.74357760250533,0.771498425599849,FALSE,0
209,TOI_sum_min,Loess,194.00460305476554,194.00460305476554,0.7646444785014473,FALSE,0
210,TOI_sum_min,Loess,192.16530838674086,192.16530838674086,0.7573951324029673,FALSE,0
211,TOI_sum_min,Loess,189.94122390450838,189.94122390450838,0.7486291861713732,FALSE,0
212,TOI_sum_min,Loess,187.0794497865123,187.0794497865123,0.7373498673119835,FALSE,0
213,TOI_sum_min,Loess,183.42156215796177,183.42156215796177,0.7229327682632545,FALSE,0
214,TOI_sum_min,Loess,178.86716362105227,178.86716362105227,0.7049821854455888,FALSE,0
215,TOI_sum_min,Loess,173.36296498302931,173.36296498302931,0.6832880862805738,FALSE,0
216,TOI_sum_min,Loess,166.90010510328645,166.90010510328645,0.6578155457090551,FALSE,0
217,TOI_sum_min,Loess,159.50935618622378,159.50935618622378,0.6286858484625046,FALSE,0
