Name,Position,Year,Selection,GPYr1,PSYr1,TOIYr1,GPYr2,PSYr2,TOIYr2,GPYr3,PSYr3,TOIYr3,GPYr4,PSYr4,TOIYr4,GPYr5,PSYr5,TOIYr5,GPYr6,PSYr6,TOIYr6,GPYr7,PSYr7,TOIYr7
Jack Campbell,G,2010,11,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00
Cam Fowler,D,2010,12,76,5.0,1681:53,82,3.6,1907:22,37,1.5,756:15,70,6.1,1670:24,80,5.8,1691:30,69,5.2,1571:52,80,8.3,1987:51
Brandon Gormley,D,2010,13,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,5,0.4,72:43,27,0.7,413:42,26,0.2,316:34,0,N/A,0:00
Jaden Schwartz,C,2010,14,0,N/A,0:00,7,0.5,81:49,45,1.2,561:04,80,7.9,1402:14,75,8.4,1368:27,33,2.8,567:43,78,6.4,1474:42
Derek Forbort,D,2010,15,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,14,0.4,154:38,82,5.6,1649:31
Vladimir Tarasenko,RW,2010,16,0,N/A,0:00,0,N/A,0:00,38,2.3,509:35,64,6.4,971:06,77,11.2,1357:06,80,10.8,1491:01,82,10.2,1514:32
Joey Hishon,C,2010,17,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,13,0.1,131:28,0,N/A,0:00,0,N/A,0:00
Austin Watson,LW,2010,18,0,N/A,0:00,0,N/A,0:00,6,0.0,76:14,0,N/A,0:00,0,N/A,0:00,57,0.4,570:09,77,1.4,956:48
Nick Bjugstad,C,2010,19,0,N/A,0:00,0,N/A,0:00,11,-0.4,167:19,76,3.5,1232:39,72,5.3,1193:55,67,3.4,1039:10,54,0.5,710:15
Beau Bennett,RW,2010,20,0,N/A,0:00,0,N/A,0:00,26,1.5,319:52,21,0.6,290:44,49,0.8,611:53,33,1.3,392:33,65,1.7,881:16
Riley Sheahan,C,2010,21,0,N/A,0:00,1,0.0,6:03,1,0.0,6:47,42,3.1,606:53,79,3.3,1235:45,81,2.1,1233:42,80,-1.2,1117:44
Jarred Tinordi,D,2010,22,0,N/A,0:00,0,N/A,0:00,8,0.7,93:42,22,0.4,319:41,13,-0.1,156:52,7,-0.1,103:41,0,N/A,0:00
Mark Pysyk,D,2010,23,0,N/A,0:00,0,N/A,0:00,19,0.3,309:17,44,1.5,863:22,7,1.1,127:15,55,2.4,874:40,82,4.3,1521:59
Kevin Hayes,RW,2010,24,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,79,5.8,1030:14,79,3.9,1079:22,76,5.3,1258:28
Quinton Howden,C,2010,25,0,N/A,0:00,0,N/A,0:00,18,-0.8,188:12,16,0.8,219:30,0,N/A,0:00,58,0.8,601:35,5,0.0,43:17
Evgeny Kuznetsov,C,2010,26,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,17,0.9,229:03,80,4.0,1066:29,82,9.6,1428:03,82,6.7,1390:10
Mark Visentin,G,2010,27,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00
Charlie Coyle,C/RW,2010,28,0,N/A,0:00,0,N/A,0:00,37,1.7,557:19,70,2.4,1196:23,82,3.8,1193:22,82,4.9,1419:12,82,6.1,1369:34
Emerson Etem,RW,2010,29,0,N/A,0:00,0,N/A,0:00,38,0.9,435:33,29,1.4,370:46,45,0.4,550:58,39,1.0,552:14,3,0.0,26:25
Brock Nelson,C,2010,30,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,72,2.3,1026:53,82,4.9,1302:25,81,5.2,1280:04,81,4.7,1267:30
Tyler Pitlick,C,2010,31,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,10,0.0,89:43,17,0.0,211:32,0,N/A,0:00,31,1.6,307:39
Jared Knight,C,2010,32,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00
John McFarland,LW,2010,33,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,3,-0.1,29:44,0,N/A,0:00
Dalton Smith,LW,2010,34,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00
Ludvig Rensfeldt,LW,2010,35,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00
Alex Petrovic,D,2010,36,0,N/A,0:00,0,N/A,0:00,6,-0.5,112:41,7,0.4,85:39,33,0.5,536:34,66,4.2,1119:04,49,2.7,889:21
Justin Faulk,D,2010,37,0,N/A,0:00,66,3.8,1507:43,38,2.8,912:18,76,5.4,1779:17,82,9.1,2002:56,64,6.4,1538:51,75,6.6,1735:33
Jon Merrill,D,2010,38,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,52,2.6,999:46,66,2.4,1356:35,47,0.7,794:08,51,1.3,946:53
